epoch,edema_accuracy,edema_auc,edema_loss,grade_accuracy,grade_loss,loss,lr,val_edema_accuracy,val_edema_auc,val_edema_loss,val_grade_accuracy,val_grade_loss,val_loss
0,0.800319492816925,0.8785741329193115,0.4445708692073822,0.5219648480415344,1.1598416566848755,0.9453844428062439,1e-05,0.8318583965301514,0.8892394304275513,0.41371870040893555,0.6106194853782654,1.0565274953842163,0.8638089895248413
1,0.8390575051307678,0.9228788614273071,0.3716363310813904,0.5607028603553772,1.0646886825561523,0.8568972945213318,1e-05,0.8141592741012573,0.9069085121154785,0.41382506489753723,0.6076695919036865,1.0274567604064941,0.8434916138648987
2,0.8662140369415283,0.9409617185592651,0.32588058710098267,0.6058306694030762,0.9797154664993286,0.7836889028549194,1e-05,0.8141592741012573,0.9210930466651917,0.39538902044296265,0.6106194853782654,1.0002278089523315,0.8189005851745605
3,0.8726038336753845,0.9492613673210144,0.3007584512233734,0.6381788849830627,0.9185528755187988,0.7333389520645142,5e-06,0.8082596063613892,0.9245501160621643,0.41911810636520386,0.6017699241638184,1.0186007022857666,0.8388804197311401
4,0.8841853141784668,0.9583349227905273,0.2759611904621124,0.6317891478538513,0.8965299129486084,0.7104834914207458,5e-06,0.8230088353157043,0.9289124011993408,0.3877224922180176,0.6194690465927124,0.9814179539680481,0.8034337759017944
5,0.8913738131523132,0.9595587253570557,0.26865413784980774,0.6485623121261597,0.8697998523712158,0.689580500125885,5e-06,0.8259587287902832,0.9315189123153687,0.37190982699394226,0.6430678367614746,0.9647467732429504,0.7870201468467712
6,0.8953673839569092,0.9633366465568542,0.2568652331829071,0.6633386611938477,0.843336284160614,0.6675193905830383,5e-06,0.8200590014457703,0.933905839920044,0.3998260498046875,0.6017699241638184,0.9989858865737915,0.8193625211715698
7,0.8981629610061646,0.9653928279876709,0.24997921288013458,0.6633386611938477,0.8356587290763855,0.6600794792175293,5e-06,0.8348082304000854,0.9368689656257629,0.36301085352897644,0.6312684416770935,0.9519178867340088,0.7753704786300659
8,0.9033546447753906,0.9672932624816895,0.24097564816474915,0.6737220287322998,0.8114902973175049,0.6404606699943542,2.5e-06,0.8200590014457703,0.9369512796401978,0.3936443626880646,0.6135693192481995,0.9854533076286316,0.808035135269165
9,0.9061501622200012,0.967271625995636,0.24026869237422943,0.6825079917907715,0.8116713166236877,0.6403750777244568,2.5e-06,0.8377581238746643,0.9398320317268372,0.35222381353378296,0.6460176706314087,0.9411796927452087,0.7646176218986511
